Age,Gender,City,Account Type,Account Balance,Account Balance After Transaction,Credit Limit,Credit Card Balance
42,Other,El Paso,Savings,3831.12,8577.61,9170.78,2987.74
64,Male,Denver,Current,8423.5,10603.07,8514.73,2788.0
66,Other,Atlanta,Savings,2792.15,3066.09,6663.31,1102.03
35,Other,Colorado Springs,Savings,8619.36,7893.32,3047.11,1343.47
20,Female,Las Vegas,Current,180.1,2704.91,5646.98,4628.69
35,Male,Indianapolis,Savings,9351.9,4886.04,4373.69,405.51
24,Other,Tucson,Current,7485.89,10760.01,6319.51,2520.25
45,Other,Fort Worth,Savings,4186.03,3170.64,7582.01,2373.34
34,Female,Fresno,Savings,5815.62,9323.83,7536.36,1916.85
42,Female,San Antonio,Current,9336.87,13809.02,1512.66,3918.05
35,Female,Austin,Current,5867.35,5706.52,4355.01,4612.91
69,Female,Milwaukee,Savings,2362.83,3584.46,4510.45,4986.37
57,Other,Memphis,Current,5771.45,6545.82,2685.39,613.7
60,Other,San Jose,Current,8727.33,12650.0,5380.02,214.28
20,Other,Milwaukee,Savings,9875.75,14334.22,3511.78,1376.5
42,Female,Los Angeles,Savings,5882.42,3105.18,4126.54,3412.51
24,Other,Colorado Springs,Savings,1640.89,-2601.64,6153.34,2022.65
64,Male,Charlotte,Current,7740.35,4452.23,8627.02,2329.53
27,Male,Austin,Savings,9969.42,6682.49,4854.94,4997.11
61,Other,Fresno,Current,4789.0,1886.26,5861.01,2456.68
61,Female,Colorado Springs,Savings,3898.95,3639.36,8157.08,4576.73
68,Male,Houston,Current,5569.76,10255.28,4867.49,2058.35
36,Other,Austin,Current,1731.19,3516.49,4475.64,2200.76
32,Male,Memphis,Savings,9715.71,5700.85,6993.33,3857.36
38,Male,Los Angeles,Savings,8399.51,12451.33,3437.91,4507.25
38,Male,Indianapolis,Current,1218.61,6047.76,1256.36,4064.69
54,Male,Colorado Springs,Savings,9456.31,11096.54,2209.7,2357.23
45,Other,San Jose,Savings,9433.91,4446.89,3479.44,3490.18
62,Male,Atlanta,Current,3231.91,1722.04,8283.82,1318.87
49,Other,San Francisco,Current,6229.51,8491.85,2894.62,385.92
58,Male,Nashville,Savings,1196.47,-2337.72,6586.05,790.09
44,Male,Denver,Savings,933.49,1716.88,3783.95,120.35
40,Male,San Antonio,Savings,5067.77,6406.97,1529.45,2222.57
27,Other,Kansas City,Savings,591.81,-3051.48,8489.28,3278.29
57,Male,San Diego,Savings,8761.43,13633.61,9401.57,167.13
58,Male,San Jose,Current,9288.14,5621.47,2496.41,259.08
23,Female,Atlanta,Savings,766.33,-3546.54,5587.79,2604.08
41,Male,Los Angeles,Current,568.12,765.18,3590.78,4697.89
35,Female,Austin,Savings,2292.04,5181.4,5948.94,706.91
27,Other,Las Vegas,Savings,9306.59,4735.27,7321.96,3392.53
32,Male,Philadelphia,Savings,7713.24,4298.08,9860.94,3272.27
62,Male,Detroit,Current,6797.33,10182.88,4135.25,1529.74
60,Female,San Antonio,Savings,7785.84,6762.67,3290.08,379.47
51,Female,Colorado Springs,Current,2074.82,6381.91,7014.85,3045.93
25,Male,Denver,Current,2640.22,6966.8,8587.19,2216.28
67,Other,Philadelphia,Savings,3244.52,170.62,1251.09,1559.79
52,Female,Memphis,Savings,6090.15,8228.97,1390.08,3900.56
44,Male,Colorado Springs,Savings,6121.38,1998.26,6231.45,2024.65
42,Female,Los Angeles,Savings,2165.22,4495.55,2174.01,3085.42
20,Other,Denver,Current,4423.6,8538.45,6662.18,1281.2
38,Female,Houston,Current,6931.2,9360.93,6093.49,391.53
56,Male,Philadelphia,Savings,3165.23,6068.4,8212.72,775.69
49,Female,Atlanta,Current,847.22,4589.85,8175.18,1838.14
67,Other,Louisville,Savings,2054.16,721.84,8492.02,3669.04
38,Male,Baltimore,Current,1730.88,2972.64,9408.31,2928.2
26,Male,San Antonio,Savings,6356.23,9698.76,6312.22,1881.02
67,Male,Dallas,Savings,778.63,-3991.4,2303.07,2371.43
18,Male,Boston,Current,8859.02,6623.31,9231.54,2908.31
21,Other,Tucson,Current,935.43,5427.46,9968.85,846.06
21,Male,New York,Current,6019.31,3423.56,1346.18,1359.01
66,Other,Philadelphia,Savings,9302.37,14172.29,6418.03,1382.53
43,Other,Seattle,Current,717.99,-3244.33,4367.88,515.22
51,Female,Jacksonville,Savings,3892.74,-406.45,3733.76,998.89
44,Female,Louisville,Savings,3346.66,6747.88,7923.47,2796.43
32,Male,Austin,Savings,3507.67,-836.11,3712.46,1131.56
62,Male,Tucson,Savings,6043.08,3075.02,2347.08,2909.99
49,Other,New York,Current,2694.82,5535.83,3183.69,120.08
58,Female,San Jose,Savings,370.5,-3999.32,5836.36,869.04
24,Male,Atlanta,Savings,9626.52,9541.34,3287.64,3057.75
61,Male,Oklahoma City,Savings,7512.88,5113.77,4145.51,2922.09
61,Other,New York,Current,1437.76,-2913.91,6173.4,1378.44
31,Female,Chicago,Current,4606.05,5594.84,7228.7,3116.28
40,Male,Seattle,Current,720.95,-4069.52,1630.36,829.57
64,Male,Columbus,Savings,375.78,4081.38,4703.32,4087.66
18,Male,Milwaukee,Current,570.37,-3244.12,7430.25,1251.65
49,Male,Portland,Current,7582.2,4251.47,3950.7,2336.54
58,Male,San Francisco,Savings,4504.75,6747.65,7817.04,4736.61
43,Male,Memphis,Savings,8459.53,10769.7,4082.07,2888.99
65,Female,Mesa,Current,3121.63,-1075.52,7833.65,3761.37
26,Other,Atlanta,Current,7775.69,8480.0,9602.15,3727.59
33,Other,Detroit,Savings,871.55,-1743.57,5537.35,1906.93
48,Other,San Francisco,Current,6387.57,7944.21,5344.8,500.83
19,Male,Washington,Savings,3669.96,8591.7,5360.21,1702.76
49,Other,Boston,Savings,2839.58,2811.15,9571.27,168.94
27,Female,Los Angeles,Savings,8169.58,7841.85,2433.47,1320.95
42,Male,Washington,Savings,614.03,5451.3,7662.66,181.43
35,Female,Phoenix,Current,9500.36,6776.84,7207.61,2097.76
62,Male,Houston,Savings,7876.9,8578.19,6691.97,45.09
51,Male,Mesa,Savings,3620.53,1371.81,7654.68,3803.42
46,Other,Philadelphia,Current,9914.2,11534.26,3873.79,4815.27
62,Female,Nashville,Current,2104.64,6661.57,9352.22,158.31
41,Other,San Jose,Current,4083.9,7524.92,9170.27,2889.18
20,Male,Atlanta,Savings,8860.31,9521.6,3074.32,1352.26
32,Female,Boston,Savings,9968.39,12655.25,5629.23,2618.58
20,Female,Detroit,Savings,2467.22,3148.18,3822.26,4715.61
48,Male,Colorado Springs,Current,7456.82,10786.32,8116.98,3826.42
27,Other,Oklahoma City,Current,3126.72,6765.58,9102.64,3731.6
55,Male,Tucson,Savings,7688.08,4872.9,5814.61,1467.03
39,Female,Columbus,Savings,1340.31,6170.43,3885.67,3982.37
31,Female,Mesa,Savings,3428.08,-1294.15,6808.84,512.42
26,Female,San Francisco,Current,842.5,-195.02,2281.89,3537.47
35,Male,Nashville,Current,4969.78,4958.14,5579.63,2020.83
25,Female,Indianapolis,Savings,7044.86,3727.74,7827.75,2186.18
55,Female,Indianapolis,Current,3848.3,6231.75,3365.06,2449.18
32,Other,Oklahoma City,Current,6185.7,7865.65,4527.44,3841.22
63,Other,Memphis,Current,5733.96,1148.68,6889.0,1557.54
32,Female,Louisville,Current,3016.51,-1876.24,9637.01,1617.49
69,Other,San Diego,Savings,4919.1,9572.68,1714.43,2601.65
23,Male,Las Vegas,Savings,783.29,-1722.68,2400.35,1338.98
29,Other,Chicago,Current,4653.14,8172.89,2151.57,2230.58
59,Other,Boston,Current,4636.08,5502.23,2985.56,3301.72
36,Other,Denver,Savings,384.31,-4370.46,1545.49,4949.28
57,Other,Tucson,Current,5187.35,3761.8,4259.28,1309.97
22,Male,Los Angeles,Current,7403.17,8374.94,3525.57,1310.76
44,Other,Charlotte,Savings,4577.3,4887.49,2783.1,1970.59
27,Female,Washington,Current,6495.65,9252.0,3316.81,3295.36
60,Other,Jacksonville,Savings,5370.97,10113.8,6791.64,4631.24
69,Other,Seattle,Current,7873.27,8559.86,7200.6,4745.12
63,Female,Washington,Current,5193.11,5806.05,9356.31,1690.09
31,Male,Portland,Current,3382.93,2012.67,2892.66,2086.37
51,Female,San Jose,Current,8292.93,11623.25,1909.04,2181.68
66,Female,Tucson,Current,769.45,3513.04,1527.5,1744.56
32,Female,Phoenix,Current,2965.62,3455.69,5437.87,1577.08
46,Female,Detroit,Current,5955.7,3738.62,6813.25,356.96
43,Other,San Jose,Current,8574.66,8918.65,3156.94,2725.48
44,Other,Portland,Savings,814.2,-3446.8,6991.48,3311.69
20,Other,Columbus,Savings,1050.92,1595.41,2686.51,4957.89
20,Other,Las Vegas,Savings,2895.61,533.83,3001.84,3095.85
52,Male,Chicago,Savings,3511.26,954.05,6978.03,3052.17
52,Other,Baltimore,Current,8451.03,5795.7,9590.03,1851.94
67,Other,Sacramento,Savings,9593.14,12642.82,9128.25,287.56
23,Male,Columbus,Savings,270.56,3781.46,1243.2,3070.83
31,Female,Fort Worth,Current,252.03,220.28,9832.4,627.7
43,Other,Louisville,Current,8661.62,8497.36,4280.3,3719.57
20,Other,Memphis,Current,1442.61,-1619.03,5988.43,3770.77
50,Female,San Francisco,Current,3459.43,4378.32,4107.94,525.49
59,Other,Omaha,Current,2824.61,-1336.3,8419.66,1388.13
30,Female,Nashville,Savings,2890.5,-250.78,7051.47,4099.49
46,Female,El Paso,Current,3353.06,8255.26,8894.78,4810.91
26,Female,Oklahoma City,Current,3426.86,7069.6,2909.13,3652.84
49,Other,Austin,Current,6239.54,6702.2,6763.76,2006.63
39,Female,Fresno,Savings,6324.96,7188.13,5784.83,4136.06
39,Other,Jacksonville,Current,5276.63,5518.91,6299.55,1464.49
51,Male,Jacksonville,Current,8599.56,4891.09,4288.63,4331.3
27,Female,Philadelphia,Savings,8472.15,7829.3,1057.94,214.18
42,Other,Mesa,Savings,2250.45,-1071.75,7341.97,4964.63
29,Female,Las Vegas,Current,5482.03,2700.6,7429.1,552.67
68,Other,Fort Worth,Savings,7859.99,4689.83,8830.44,4575.83
20,Other,El Paso,Savings,8682.06,11230.32,9662.69,4262.7
36,Male,Portland,Current,2626.34,2701.35,2791.92,1466.02
50,Female,Atlanta,Savings,4991.59,3718.03,1613.01,2311.76
64,Other,Philadelphia,Savings,5297.77,871.71,8064.15,1072.37
43,Male,New York,Current,7026.42,11673.47,8908.27,2405.34
30,Other,Philadelphia,Savings,3369.57,2874.49,2540.59,904.03
24,Other,Washington,Savings,3005.17,-1758.45,1981.49,1463.07
51,Male,Las Vegas,Current,7085.42,3729.5,8639.15,195.79
39,Female,Boston,Current,4053.42,8666.98,9799.74,2759.35
37,Male,Charlotte,Savings,139.84,2151.65,4670.46,3617.72
60,Female,Detroit,Savings,9384.68,8866.97,9144.37,1011.49
40,Other,San Diego,Savings,1581.49,3100.73,7942.51,3060.67
65,Other,Las Vegas,Savings,1571.48,5022.99,3605.5,240.42
31,Male,Kansas City,Savings,8201.82,4223.66,2412.86,417.31
47,Male,Philadelphia,Current,3421.48,3681.59,2754.94,2722.29
40,Male,Sacramento,Savings,3348.94,909.05,5735.04,296.43
64,Other,New York,Savings,6261.71,5930.52,4576.09,2286.04
69,Female,Mesa,Current,684.48,5003.91,9627.43,320.35
36,Male,Fort Worth,Current,2445.92,58.99,4738.01,1746.38
56,Female,Kansas City,Savings,627.38,-3947.58,1874.38,4403.33
58,Male,Austin,Savings,2985.95,2583.84,2075.38,3732.0
53,Male,Fort Worth,Current,8712.31,10371.36,9151.72,2067.78
23,Male,Colorado Springs,Savings,9102.39,12488.32,5662.66,1751.44
40,Male,San Antonio,Current,3163.42,4638.41,9508.98,1823.61
27,Other,Austin,Current,1957.11,6166.49,9551.98,658.84
52,Other,Mesa,Current,1439.23,-3495.07,9665.04,1953.25
38,Male,Milwaukee,Current,4004.75,5418.04,9293.56,2937.41
49,Other,Tucson,Savings,8281.42,6469.64,8990.91,4239.71
47,Other,San Jose,Current,8541.37,3704.32,6587.25,3412.68
50,Other,Seattle,Savings,554.69,-1242.03,9565.37,3189.8
23,Other,Las Vegas,Current,2171.37,-613.0,8159.68,335.96
22,Female,Dallas,Savings,2111.39,5959.91,7131.21,713.68
32,Female,Milwaukee,Savings,8301.46,10498.8,9047.88,472.18
60,Other,Jacksonville,Current,4617.29,2747.98,8277.78,954.37
69,Female,Los Angeles,Savings,3747.11,6230.1,4432.05,3869.91
42,Male,Kansas City,Savings,9570.4,13470.2,3518.58,3101.83
30,Female,Charlotte,Savings,9261.04,7693.35,2356.87,2211.73
23,Male,Chicago,Current,4457.06,6217.59,9555.65,57.96
54,Female,Milwaukee,Savings,1370.49,2324.3,1771.88,3340.55
19,Female,Philadelphia,Savings,1792.93,-1718.14,7934.05,2696.95
34,Male,Chicago,Current,1209.63,5707.89,4477.15,414.14
41,Male,Austin,Current,6836.99,7773.83,5197.16,3503.75
29,Other,Charlotte,Savings,5591.4,5774.0,2090.43,1349.12
61,Female,Louisville,Current,5610.78,3698.24,2067.68,2420.03
31,Male,Jacksonville,Current,1073.94,-982.73,4161.14,1593.86
24,Other,Kansas City,Current,7953.42,11186.28,7418.23,1612.87
43,Male,San Antonio,Savings,5402.17,5839.27,3412.34,295.14
49,Other,Charlotte,Current,1000.6,-3108.68,7266.59,238.78
46,Other,Seattle,Current,7496.59,10370.78,9969.61,3888.99
63,Male,Seattle,Current,9814.85,7080.46,4821.95,16.42
56,Male,Las Vegas,Savings,4467.69,2879.04,9419.65,1438.06
26,Female,Los Angeles,Current,1244.98,3077.66,1714.77,4756.37
31,Female,Omaha,Savings,1103.85,1390.43,3821.11,3993.9
34,Other,Oklahoma City,Current,356.21,-3415.03,6390.97,2591.96
66,Male,Fresno,Savings,7726.94,10754.58,2933.09,3710.94
42,Female,Detroit,Current,6970.61,11852.99,4359.03,4718.94
47,Other,San Antonio,Current,5883.97,4109.7,5062.18,4699.36
62,Female,Kansas City,Savings,7679.73,4345.17,7067.37,2229.14
46,Other,Baltimore,Savings,9993.05,5394.52,2961.29,1612.06
46,Female,Phoenix,Current,4078.29,7639.58,4174.62,3740.67
35,Male,Austin,Current,7087.52,6876.37,9591.9,2050.93
48,Other,New York,Current,3833.9,6998.76,3395.71,774.01
36,Other,Fresno,Savings,3585.37,6316.87,7617.56,968.8
34,Female,New York,Current,8524.11,11025.68,8838.8,2715.58
23,Female,Denver,Current,5790.16,8559.85,7041.8,2545.9
29,Female,Los Angeles,Current,1294.07,3602.29,8097.28,2316.68
55,Male,Nashville,Savings,4094.81,7557.05,9856.36,1850.26
20,Female,Oklahoma City,Current,7985.89,7901.47,3986.62,1625.51
64,Female,El Paso,Savings,9405.98,10356.89,3323.49,941.17
52,Male,Nashville,Savings,6182.84,4349.57,5053.05,3409.23
64,Female,Las Vegas,Current,4002.72,6271.53,6744.88,2515.52
50,Male,Houston,Savings,2594.63,1933.5,1964.5,1846.73
46,Male,Fort Worth,Savings,4278.03,8380.56,1471.69,3886.96
20,Female,Washington,Current,5699.98,10347.64,2238.45,3162.06
22,Male,Oklahoma City,Current,143.73,3902.3,2502.57,3778.11
31,Female,Seattle,Current,2759.91,7404.71,1353.48,3222.2
53,Male,New York,Savings,6748.01,10466.68,6330.59,3125.05
45,Other,Baltimore,Savings,6764.97,4554.1,6223.48,2059.07
58,Female,Tucson,Savings,6564.77,8536.5,5314.23,1405.2
49,Other,Las Vegas,Current,9504.43,10344.76,2176.38,1155.45
35,Other,Columbus,Savings,5728.6,5287.23,9519.27,4493.32
59,Other,Mesa,Current,2770.31,1664.41,7348.88,1004.28
57,Other,Phoenix,Current,8134.97,5469.61,1912.87,3364.06
30,Female,Austin,Savings,3954.84,4638.23,6189.39,946.97
19,Male,Las Vegas,Savings,2468.98,7225.29,1357.96,4694.62
69,Female,Milwaukee,Savings,5611.82,4511.49,4641.09,980.17
42,Female,San Jose,Current,2961.44,-1208.38,8273.56,4274.29
37,Male,Indianapolis,Savings,4021.98,8117.89,5781.64,4675.61
24,Other,Las Vegas,Current,6962.26,7676.87,1864.16,1034.48
28,Male,San Jose,Savings,9959.89,13516.5,8620.43,4435.27
22,Other,Las Vegas,Current,6482.84,10605.17,1670.47,547.3
46,Female,Detroit,Savings,2837.15,7259.74,5384.6,3499.94
35,Male,Los Angeles,Savings,995.61,-3774.75,5624.47,2534.42
25,Male,Indianapolis,Current,3683.48,8334.7,7962.71,4805.58
44,Other,Kansas City,Savings,291.18,-1271.39,9870.84,2404.73
59,Male,New York,Savings,4701.07,6046.67,4590.0,342.16
19,Female,Austin,Current,6633.84,8627.52,6767.13,631.19
52,Male,Sacramento,Savings,5166.78,7497.16,5682.76,1607.23
43,Male,Memphis,Savings,8666.29,9843.38,1717.43,2344.87
40,Female,Atlanta,Current,4991.1,5430.66,8175.51,4789.63
22,Other,San Francisco,Savings,4677.56,1391.19,5704.6,2421.5
33,Male,Colorado Springs,Savings,3165.8,2286.34,6459.75,4650.09
59,Other,Louisville,Current,8392.38,3817.03,4046.42,4566.73
28,Male,Memphis,Savings,9045.63,7600.08,9233.28,843.63
36,Female,Chicago,Savings,9781.4,8784.95,7186.92,4596.41
33,Other,Jacksonville,Current,9813.97,8835.12,4212.96,1275.91
49,Male,Columbus,Savings,9806.19,8351.74,5471.24,4184.03
29,Other,Fort Worth,Savings,7148.39,10213.1,3750.84,4876.42
19,Male,Baltimore,Savings,5670.26,10562.06,6749.59,359.88
60,Female,Albuquerque,Current,1806.21,-630.27,8279.12,3407.06
39,Female,Albuquerque,Savings,7693.93,4691.54,4085.77,2131.26
43,Male,Albuquerque,Savings,7375.31,11589.88,8366.36,2275.69
50,Male,Detroit,Current,8439.78,6762.93,9342.06,2793.84
41,Other,New York,Current,4678.27,5585.85,4555.25,4727.19
22,Male,Los Angeles,Savings,8934.97,6761.17,3079.79,3160.63
38,Other,San Francisco,Savings,7214.88,8815.16,9491.14,4959.12
63,Male,Baltimore,Current,1794.14,6126.13,1492.79,4826.23
35,Female,Colorado Springs,Current,2148.34,-2741.58,5350.06,4281.53
56,Other,San Antonio,Current,8161.23,4716.53,8013.22,3495.69
22,Other,Portland,Savings,4314.36,7586.63,1413.25,1159.11
25,Female,Dallas,Current,2565.23,-1008.73,6763.7,2864.88
38,Other,Washington,Savings,4283.51,1939.86,8551.31,1169.05
64,Female,Fresno,Savings,1697.64,4845.32,3682.38,4771.23
22,Female,New York,Savings,8928.19,9293.78,3792.92,4794.0
30,Female,Dallas,Current,808.24,-1664.07,1304.35,1662.92
36,Male,Oklahoma City,Current,3597.09,5265.6,5959.12,240.54
46,Female,Denver,Current,5613.59,5338.22,1552.98,4138.9
19,Other,Mesa,Current,8749.09,11477.52,1019.99,1760.46
54,Male,Omaha,Savings,7837.33,6029.65,2142.22,1597.56
43,Female,Houston,Savings,321.99,-2635.17,4911.95,2899.75
46,Female,Dallas,Current,8269.96,5699.19,7720.43,2.38
22,Female,Washington,Savings,6417.39,7805.73,7076.06,1874.86
49,Other,Seattle,Current,1420.15,4124.67,3811.15,2081.83
55,Male,Fort Worth,Savings,6213.03,8113.11,3888.88,4853.94
65,Male,Colorado Springs,Savings,8197.15,12803.52,6918.43,791.94
19,Male,Dallas,Current,6060.91,4176.5,7366.03,753.08
22,Other,Philadelphia,Savings,9991.55,9781.2,7505.92,3096.8
64,Female,Denver,Savings,5119.33,8939.56,2425.63,390.94
50,Male,San Antonio,Savings,6764.0,1945.22,1585.88,3105.37
68,Female,Indianapolis,Current,796.7,1651.93,5541.14,2037.22
52,Other,Phoenix,Savings,8150.66,3286.47,4588.12,13.14
36,Male,Indianapolis,Savings,6278.62,9368.42,9363.51,2203.22
32,Other,New York,Savings,5656.3,1417.84,1051.83,3693.8
52,Male,Atlanta,Current,7117.21,9486.96,8280.49,663.01
25,Male,Colorado Springs,Savings,5649.05,8765.43,9926.93,917.79
64,Female,Denver,Current,7687.87,3480.99,8653.42,1172.33
18,Other,Atlanta,Current,5876.8,962.63,8332.99,1949.43
55,Male,San Francisco,Savings,5248.53,6180.67,1202.27,4745.81
39,Male,Detroit,Savings,1436.69,-3058.06,8788.67,352.76
34,Other,Washington,Savings,4771.12,8110.81,6257.29,4108.37
33,Female,San Diego,Savings,5428.52,10163.36,6885.88,4003.66
62,Other,Tucson,Savings,6283.28,7880.63,4572.52,2328.44
18,Male,Los Angeles,Savings,4613.33,5833.87,9496.02,680.19
20,Other,Baltimore,Current,1551.77,-282.19,5707.66,3060.75
23,Female,Oklahoma City,Savings,1588.59,-2835.06,6558.77,3616.69
69,Female,Seattle,Savings,7237.78,4934.21,2880.23,776.24
20,Female,Jacksonville,Current,6648.33,1890.47,6023.32,3494.73
64,Female,Las Vegas,Savings,2669.04,3888.32,2985.82,4602.65
47,Female,Houston,Savings,4513.99,5624.5,2030.96,947.46
64,Female,Atlanta,Current,3138.88,6534.12,5635.38,628.36
28,Female,Houston,Current,1892.13,426.73,8614.96,3334.37
44,Male,San Jose,Savings,3329.02,2674.54,8896.64,2405.58
39,Other,Boston,Current,2700.62,4586.55,9432.81,4269.68
23,Female,San Jose,Current,916.03,-422.14,9426.46,2579.6
55,Other,Seattle,Current,5094.42,3023.64,9717.94,4104.52
58,Other,Las Vegas,Current,4563.75,3623.06,7495.65,1975.56
63,Male,Los Angeles,Savings,7174.62,11959.96,2003.76,980.61
48,Other,Tucson,Current,6241.03,10251.26,6560.61,1877.34
60,Other,Denver,Savings,3499.44,-706.66,6480.14,1797.71
23,Female,Dallas,Savings,5013.41,6509.39,1964.87,1497.48
67,Female,Louisville,Current,5407.22,9692.45,7325.45,1170.96
37,Other,Sacramento,Savings,9183.73,12141.74,4726.07,1932.89
64,Female,Colorado Springs,Current,9818.77,10111.86,1632.01,4858.16
58,Male,Jacksonville,Current,8173.87,7399.1,9415.51,2458.37
28,Other,New York,Current,5664.84,3429.49,2726.14,694.1
19,Other,Nashville,Current,9288.26,11263.25,2115.59,1175.85
